name,category,sport,source
Nikola Jokic,NBA,Basketball,nba_comprehensive_2025
Shai Gilgeous-Alexander,NBA,Basketball,nba_comprehensive_2025
Luka Doncic,NBA,Basketball,nba_comprehensive_2025
Giannis Antetokounmpo,NBA,Basketball,nba_comprehensive_2025
Victor Wembanyama,NBA,Basketball,nba_comprehensive_2025
Anthony Edwards,NBA,Basketball,nba_comprehensive_2025
Stephen Curry,NBA,Basketball,nba_comprehensive_2025
Donovan Mitchell,NBA,Basketball,nba_comprehensive_2025
Cade Cunningham,NBA,Basketball,nba_comprehensive_2025
Kawhi Leonard,NBA,Basketball,nba_comprehensive_2025
Jalen Brunson,NBA,Basketball,nba_comprehensive_2025
Jaylen Brown,NBA,Basketball,nba_comprehensive_2025
Kevin Durant,NBA,Basketball,nba_comprehensive_2025
Tyrese Maxey,NBA,Basketball,nba_comprehensive_2025
Devin Booker,NBA,Basketball,nba_comprehensive_2025
Jamal Murray,NBA,Basketball,nba_comprehensive_2025
Deni Avdija,NBA,Basketball,nba_comprehensive_2025
Alperen Sengun,NBA,Basketball,nba_comprehensive_2025
Chet Holmgren,NBA,Basketball,nba_comprehensive_2025
Jalen Johnson,NBA,Basketball,nba_comprehensive_2025
LeBron James,NBA,Basketball,nba_comprehensive_2025
Evan Mobley,NBA,Basketball,nba_comprehensive_2025
Scottie Barnes,NBA,Basketball,nba_comprehensive_2025
James Harden,NBA,Basketball,nba_comprehensive_2025
Jalen Williams,NBA,Basketball,nba_comprehensive_2025
Pascal Siakam,NBA,Basketball,nba_comprehensive_2025
Karl-Anthony Towns,NBA,Basketball,nba_comprehensive_2025
Lauri Markkanen,NBA,Basketball,nba_comprehensive_2025
Bam Adebayo,NBA,Basketball,nba_comprehensive_2025
Anthony Davis,NBA,Basketball,nba_comprehensive_2025
Jalen Duren,NBA,Basketball,nba_comprehensive_2025
Joel Embiid,NBA,Basketball,nba_comprehensive_2025
Franz Wagner,NBA,Basketball,nba_comprehensive_2025
Julius Randle,NBA,Basketball,nba_comprehensive_2025
De'Aaron Fox,NBA,Basketball,nba_comprehensive_2025
Paolo Banchero,NBA,Basketball,nba_comprehensive_2025
Austin Reaves,NBA,Basketball,nba_comprehensive_2025
Derrick White,NBA,Basketball,nba_comprehensive_2025
Rudy Gobert,NBA,Basketball,nba_comprehensive_2025
Aaron Gordon,NBA,Basketball,nba_comprehensive_2025
Amen Thompson,NBA,Basketball,nba_comprehensive_2025
OG Anunoby,NBA,Basketball,nba_comprehensive_2025
Jaren Jackson Jr.,NBA,Basketball,nba_comprehensive_2025
Norm Powell,NBA,Basketball,nba_comprehensive_2025
LaMelo Ball,NBA,Basketball,nba_comprehensive_2025
Domantas Sabonis,NBA,Basketball,nba_comprehensive_2025
Michael Porter Jr.,NBA,Basketball,nba_comprehensive_2025
Stephon Castle,NBA,Basketball,nba_comprehensive_2025
Trey Murphy III,NBA,Basketball,nba_comprehensive_2025
Ivica Zubac,NBA,Basketball,nba_comprehensive_2025
Brandon Ingram,NBA,Basketball,nba_comprehensive_2025
Desmond Bane,NBA,Basketball,nba_comprehensive_2025
Jaden McDaniels,NBA,Basketball,nba_comprehensive_2025
Mikal Bridges,NBA,Basketball,nba_comprehensive_2025
Keyonte George,NBA,Basketball,nba_comprehensive_2025
Kon Knueppel,NBA,Basketball,nba_comprehensive_2025
Trae Young,NBA,Basketball,nba_comprehensive_2025
Cooper Flagg,NBA,Basketball,nba_comprehensive_2025
Zion Williamson,NBA,Basketball,nba_comprehensive_2025
Darius Garland,NBA,Basketball,nba_comprehensive_2025
